Date,Channel,Data Source,Campaign,Spend,CPM,CTR,CPC,Video Views,Impressions,Conversions,Conversion Rate
2024-01-06,Programmatic,Bing,Optional,4388.86,16.26,1.01,1.61,232518,269920,2134,78.28
2024-09-20,Organic,Facebook,Diverse,11132.0,31.37,1.24,2.53,148544,354902,1194,27.14
2024-02-29,Organic,Google Search Ads,Diverse,12623.52,62.4,3.0,2.08,184353,202305,2598,42.81
2024-11-26,Paid Social,Amazon Ad,Seamless,65202.1,98.59,3.14,3.14,522677,661326,19997,96.3
2023-12-20,Organic,Google,Fundamental,9570.51,40.62,1.05,3.87,110088,235596,469,18.96
2024-03-01,Paid Social,LinkedIn,Optional,8231.92,17.88,0.52,3.44,138302,460315,791,33.05
2023-06-02,Paid Search,Google Search Ads,Entreprise,35200.89,35.86,1.58,2.27,698688,981486,10054,64.84
2024-03-02,Paid Search,Bing,Entreprise,76440.5,142.47,4.93,2.89,55689,536519,22259,84.16
2023-12-16,Paid Social,Stack,Mandatory,97818.24,127.61,4.09,3.12,10283,766570,13467,42.95
2024-07-21,Paid Social,Amazon Ad,Fundamental,73341.0,103.01,2.96,3.48,389151,712008,12111,57.47
2024-05-17,Paid Social,Stack,Mandatory,12837.72,36.54,3.15,1.16,130475,351340,6131,55.4
2023-09-24,Programmatic,Bing,Diverse,11653.2,14.28,0.86,1.66,486687,816323,6380,90.88
2024-06-06,Programmatic,Stack,Diverse,12771.2,34.4,4.3,0.8,302150,371259,13818,86.56
2024-06-30,Programmatic,Bing,Diverse,64618.06,70.33,2.24,3.14,470101,918719,1248,6.06
2024-09-29,Paid Social,LinkedIn,Optional,39715.5,91.35,3.15,2.9,152835,434773,10267,74.97
2024-04-15,Paid Search,Google,Diverse,72383.85,163.84,3.31,4.95,217564,441803,12333,84.34
2023-11-27,Paid Search,Google Search Ads,Diverse,15091.4,133.28,4.37,3.05,111430,113227,2158,43.61
2023-07-14,Programmatic,Bing,Mandatory,3976.03,6.89,0.71,0.97,173525,577418,1795,43.79
2023-11-25,Paid Social,LinkedIn,Seamless,58501.26,147.23,3.99,3.69,751,397358,4485,28.29
2024-10-20,Paid Social,Google Search Ads,Optional,32474.88,57.6,2.0,2.88,464342,563811,2535,22.48
2024-12-28,Paid Search,Google Search Ads,Entreprise,27220.24,56.4,3.57,1.58,85649,482599,58,0.34
2024-06-22,Programmatic,Google Search Ads,Mandatory,21513.08,30.08,1.69,1.78,467413,715203,8542,70.68
2024-06-02,Organic,Amazon Ad,Entreprise,1991.5,160.86,4.6,3.5,7201,12380,526,92.44
2023-05-26,Paid Social,Bing,Fundamental,35234.82,36.78,2.01,1.83,733326,957957,7851,40.78
2023-03-11,Paid Social,Bing,Diverse,58139.1,93.96,3.48,2.7,129747,618765,10580,49.13
2023-02-26,Paid Search,Stack,Seamless,2906.52,18.65,0.88,2.12,137532,155844,1132,82.57
2024-09-30,Paid Social,Google,Optional,175673.68,182.66,3.87,4.72,485404,961756,10269,27.59
2023-06-09,Paid Social,Google Search Ads,Seamless,823.62,48.79,4.4,1.11,11262,16882,505,68.06
2024-07-20,Paid Search,Amazon Ad,Seamless,38180.48,75.71,2.24,3.38,308065,504314,2934,25.97
2024-07-24,Organic,Amazon Ad,Optional,66322.88,66.34,3.1,2.14,413663,999756,3664,11.82
2023-12-04,Paid Search,Facebook,Diverse,2697.44,10.35,2.25,0.46,135904,260658,3807,64.92
2023-05-21,Programmatic,Stack,Seamless,9630.9,12.35,0.71,1.74,221361,779684,2707,48.91
2023-05-24,Paid Social,Google,Fundamental,72610.4,85.68,3.15,2.72,185659,847462,9369,35.1
2024-11-27,Paid Search,Amazon Ad,Fundamental,14569.55,39.88,1.89,2.11,333693,365360,956,13.85
2023-03-24,Organic,LinkedIn,Optional,84685.23,113.33,2.57,4.41,290568,747219,9714,50.59
2024-08-24,Paid Social,Google Search Ads,Seamless,4992.2,39.46,3.62,1.09,103038,126520,498,10.87
2024-11-15,Paid Social,Amazon Ad,Entreprise,21704.67,75.71,4.48,1.69,19002,286675,6544,50.95
2023-10-28,Paid Search,Amazon Ad,Mandatory,32463.57,35.58,2.01,1.77,580656,912499,15015,81.87
2024-07-16,Programmatic,Amazon Ad,Optional,4059.6,132.15,3.24,4.08,16851,30719,174,17.49
2023-11-27,Organic,Google,Seamless,8690.88,93.28,2.65,3.52,84016,93172,1831,74.16
2023-03-07,Paid Social,Amazon Ad,Fundamental,38014.97,67.86,3.41,1.99,476672,560232,17827,93.32
2023-04-14,Paid Social,Amazon Ad,Diverse,75487.0,96.17,3.51,2.74,557748,784910,20271,73.58
2024-05-03,Programmatic,Google,Seamless,72932.85,166.83,4.98,3.35,378732,437177,19822,91.05
2023-03-05,Organic,Facebook,Fundamental,4702.2,8.34,2.78,0.3,235612,563818,7525,48.01
2023-01-18,Organic,Amazon Ad,Entreprise,219310.0,235.0,4.7,5.0,802844,933247,34019,77.56
2024-08-17,Paid Social,LinkedIn,Seamless,172220.26,227.89,4.88,4.67,511912,755702,36649,99.38
2024-07-21,Programmatic,Google,Diverse,22167.82,42.18,3.22,1.31,484951,525547,304,1.8
2023-08-22,Paid Social,Stack,Mandatory,13933.08,17.56,2.09,0.84,135735,793668,8999,54.25
2023-04-24,Programmatic,Amazon Ad,Mandatory,10816.8,35.52,4.44,0.8,243087,304545,13076,96.71
2024-11-16,Programmatic,Google,Mandatory,3345.21,20.08,0.72,2.79,32025,166582,975,81.32
2024-08-16,Organic,Google,Diverse,33742.1,67.93,1.58,4.3,287415,496684,2760,35.17
2024-08-20,Programmatic,Stack,Diverse,264.6,37.64,2.99,1.26,3780,7029,104,49.52
2024-10-05,Organic,Amazon Ad,Fundamental,52357.54,167.95,3.98,4.22,154583,311747,508,4.09
2024-05-08,Organic,Bing,Mandatory,102789.17,168.26,3.65,4.61,452981,610882,10318,46.28
2024-10-06,Organic,Bing,Optional,26167.56,29.26,3.18,0.92,445469,894459,4108,14.44
2024-09-10,Programmatic,Stack,Optional,16368.8,74.25,2.35,3.16,104851,220444,214,4.13
2023-10-29,Organic,Google,Fundamental,72652.0,92.0,2.3,4.0,141102,789716,16478,90.72
2023-05-31,Organic,Stack,Fundamental,16135.98,80.57,2.16,3.73,53686,200278,463,10.7
2024-03-20,Paid Search,Stack,Optional,1706.71,13.59,1.32,1.03,21672,125579,319,19.25
2024-09-24,Paid Social,Google Search Ads,Diverse,62713.44,71.6,4.42,1.62,211724,875848,7652,19.77
2024-08-27,Organic,Amazon Ad,Entreprise,39548.88,85.15,2.49,3.42,313066,464436,7373,63.76
2023-08-22,Paid Search,Stack,Mandatory,12043.52,15.71,1.62,0.97,237154,766440,11666,93.96
2023-11-30,Organic,LinkedIn,Optional,85916.22,117.84,2.45,4.81,194474,729091,9763,54.66
2024-06-11,Programmatic,Facebook,Mandatory,7901.52,46.86,3.81,1.23,66765,168633,4034,62.8
2024-10-22,Paid Social,Amazon Ad,Seamless,24232.5,51.75,3.45,1.5,364290,468273,1815,11.23
2024-05-03,Paid Social,Stack,Fundamental,1015.3,7.68,3.49,0.22,126649,132260,3590,77.79
2023-05-23,Organic,Bing,Mandatory,55458.0,96.09,3.08,3.12,152528,577123,14757,83.02
2023-06-22,Programmatic,Google Search Ads,Seamless,31424.08,48.23,3.89,1.24,516619,651483,11304,44.61
2023-01-05,Paid Search,Facebook,Optional,42831.46,86.73,3.12,2.78,398452,493824,14875,96.55
2024-04-19,Paid Search,Google,Optional,8852.4,14.76,2.46,0.6,500694,599794,12751,86.42
2023-12-12,Organic,Facebook,Optional,11837.87,71.34,2.82,2.53,16027,165935,1485,31.74
2024-07-06,Paid Social,Facebook,Diverse,108115.2,136.44,3.79,3.6,366527,792404,21352,71.1
2023-10-10,Paid Search,LinkedIn,Fundamental,8159.97,10.44,4.97,0.21,615979,781831,37404,96.26
2023-11-05,Programmatic,Google Search Ads,Mandatory,15951.53,68.95,3.81,1.81,75646,231333,8297,94.15
2023-08-14,Paid Social,LinkedIn,Mandatory,2190.5,34.76,1.07,3.25,57865,63011,65,9.64
2024-10-29,Paid Search,Google,Fundamental,53808.58,81.95,2.08,3.94,438138,656599,183,1.34
2023-12-16,Paid Search,Amazon Ad,Entreprise,44302.0,69.27,1.63,4.25,232668,639516,9014,86.47
2023-12-27,Organic,Bing,Seamless,18726.96,22.72,1.6,1.42,556679,824263,559,4.24
2023-07-14,Paid Social,Bing,Mandatory,64222.08,140.19,3.37,4.16,396656,458114,8978,58.16
2024-12-12,Organic,Google,Diverse,1399.68,63.76,1.48,4.32,7633,21951,204,62.96
2024-07-16,Paid Search,Stack,Entreprise,7688.0,15.44,1.93,0.8,455192,497959,7281,75.76
2023-09-11,Organic,Amazon Ad,Entreprise,30914.0,34.85,0.85,4.1,564830,887136,6842,90.74
2024-09-07,Organic,Google,Fundamental,29688.12,124.36,4.23,2.94,73006,238726,697,6.9
2023-07-01,Programmatic,Google,Diverse,81863.67,167.79,4.7,3.57,27920,487898,269,1.17
2023-06-08,Programmatic,Amazon Ad,Mandatory,14448.32,36.56,1.32,2.77,381684,395226,3797,72.8
2024-06-17,Paid Search,Bing,Mandatory,13975.04,127.73,4.99,2.56,69415,109411,4590,84.08
2023-06-04,Paid Search,Facebook,Entreprise,23490.56,26.71,3.61,0.74,255746,879340,21431,67.51
2024-01-26,Programmatic,Google,Entreprise,83345.48,122.12,4.3,2.84,380357,682508,22982,78.31
2024-08-06,Paid Search,Google Search Ads,Mandatory,2761.39,29.95,0.65,4.61,43171,92212,112,18.7
2024-01-08,Paid Search,Google Search Ads,Diverse,3458.19,14.31,2.51,0.57,238380,241737,2907,47.91
2024-01-12,Paid Social,Google,Mandatory,27538.6,31.35,1.65,1.9,403098,878434,7484,51.64
2023-10-15,Paid Social,Bing,Entreprise,6565.8,26.04,1.68,1.55,105152,252177,1614,38.1
2024-01-08,Programmatic,Bing,Diverse,106748.16,170.5,4.44,3.84,246573,626106,25132,90.41
2023-04-21,Programmatic,Bing,Optional,21133.08,177.66,4.2,4.23,82174,118954,2269,45.42
2024-05-30,Programmatic,Stack,Entreprise,2758.08,53.06,3.14,1.69,44513,51984,1373,84.13
2024-10-22,Paid Social,Amazon Ad,Mandatory,121663.08,143.68,3.11,4.62,153647,846770,8348,31.7
2023-09-29,Programmatic,Stack,Mandatory,117023.25,180.11,3.89,4.63,28829,649747,19134,75.7
2023-06-30,Paid Search,Google,Seamless,9949.1,11.62,3.32,0.35,33225,856205,27263,95.91
2024-10-02,Paid Search,LinkedIn,Optional,16206.24,40.13,1.32,3.04,371531,403875,3159,59.26
2023-09-07,Paid Search,LinkedIn,Fundamental,34574.58,128.48,3.32,3.87,264296,269110,1924,21.54
2023-12-06,Programmatic,Google Search Ads,Seamless,18843.44,53.9,3.5,1.54,289717,349622,4871,39.81
2023-09-30,Paid Search,Google Search Ads,Seamless,16106.4,21.36,1.78,1.2,323905,754056,2865,21.35
2024-03-04,Programmatic,Bing,Seamless,10721.7,30.14,2.74,1.1,233727,355749,253,2.6
2024-09-23,Paid Search,Facebook,Entreprise,11583.47,13.1,2.22,0.59,759914,884386,16399,83.53
2024-06-02,Programmatic,Facebook,Fundamental,60953.88,121.52,4.94,2.46,379768,501588,19983,80.65
2024-05-16,Paid Social,Amazon Ad,Mandatory,18627.18,111.53,2.6,4.29,153818,167020,3875,89.24
2024-12-21,Paid Social,Facebook,Fundamental,17739.81,33.26,3.36,0.99,342769,533313,10739,59.93
2024-06-24,Paid Social,Facebook,Optional,3263.18,12.52,0.75,1.67,18903,260602,956,48.93
2024-07-11,Programmatic,Stack,Seamless,19279.2,47.56,1.64,2.9,108301,405384,1985,29.86
2023-09-07,Organic,Google Search Ads,Seamless,94096.35,143.39,3.39,4.23,184382,656209,2595,11.67
2023-02-17,Programmatic,LinkedIn,Entreprise,13662.6,157.89,3.76,4.2,11947,86531,2534,77.9
2023-04-29,Paid Search,Bing,Fundamental,41987.66,111.07,4.01,2.77,215860,378024,10456,68.98
2024-02-17,Paid Search,Google Search Ads,Mandatory,24104.76,133.58,3.65,3.66,38308,180451,1792,27.21
2023-08-18,Paid Social,Facebook,Seamless,46679.49,70.78,4.95,1.43,259929,659465,10030,30.73
2024-11-08,Paid Search,Google Search Ads,Mandatory,8529.21,22.02,2.27,0.97,44712,387368,4974,56.57
2024-01-08,Programmatic,Amazon Ad,Diverse,23104.0,60.4,1.51,4.0,319699,382532,5094,88.19
2023-02-01,Programmatic,LinkedIn,Optional,45925.88,161.16,3.96,4.07,45617,284969,8721,77.29
2024-01-16,Organic,Stack,Entreprise,3138.95,23.78,0.71,3.35,131152,131999,9,0.96
2023-05-05,Programmatic,Google Search Ads,Fundamental,52752.16,106.25,4.58,2.32,260377,496479,2418,10.63
2023-07-13,Programmatic,Facebook,Mandatory,7946.66,33.38,1.33,2.51,184627,238058,1527,48.23
2023-07-24,Paid Search,Amazon Ad,Seamless,39612.87,42.57,4.3,0.99,54455,930539,7665,19.16
2023-06-03,Organic,Google Search Ads,Mandatory,12601.08,100.53,3.54,2.84,674,125349,259,5.84
2023-06-06,Organic,LinkedIn,Seamless,12840.75,17.55,0.78,2.25,582034,731720,2981,52.23
2023-10-03,Paid Search,Amazon Ad,Diverse,5860.8,135.29,3.76,3.6,37940,43320,1336,82.06
2024-12-15,Paid Social,Bing,Fundamental,3789.72,7.52,2.09,0.36,324763,503726,7376,70.07
2024-04-27,Paid Search,Google,Optional,2280.72,21.41,2.1,1.02,49526,106521,588,26.3
2023-05-01,Paid Social,Stack,Optional,16412.8,50.62,2.27,2.23,298695,324266,1404,19.08
2024-08-29,Organic,Bing,Seamless,10314.54,14.09,0.87,1.62,589184,731853,5512,86.57
2024-09-16,Programmatic,Facebook,Mandatory,50734.8,83.89,3.29,2.55,310856,604758,14330,72.02
2024-05-10,Organic,Stack,Entreprise,116173.75,225.14,4.53,4.97,331924,516011,16733,71.59
2024-09-22,Organic,Facebook,Seamless,8196.27,12.35,1.42,0.87,53783,663509,635,6.74
2023-02-22,Programmatic,Stack,Seamless,18881.72,30.46,2.13,1.43,324881,619943,6158,46.64
2024-06-23,Programmatic,Amazon Ad,Mandatory,91965.48,142.2,4.5,3.16,299678,646736,3897,13.39
2023-03-03,Programmatic,Bing,Fundamental,86114.48,121.26,4.27,2.84,365395,710139,4491,14.81
2024-08-06,Paid Social,Google,Optional,286.44,61.6,2.0,3.08,3081,4650,20,21.51
2023-09-03,Paid Social,Amazon Ad,Diverse,130388.7,140.4,3.6,3.9,739086,928696,24033,71.88
2024-06-01,Paid Search,Google,Diverse,1952.28,5.8,0.5,1.16,285562,336642,1148,68.21
2024-03-20,Paid Social,Facebook,Entreprise,54325.64,54.62,2.83,1.93,159107,994662,16860,59.9
2023-05-18,Paid Social,Bing,Seamless,28556.28,45.89,3.35,1.37,243982,622236,2843,13.64
2023-08-03,Organic,Google Search Ads,Diverse,33331.32,84.81,2.48,3.42,201114,393002,4957,50.86
2023-01-03,Programmatic,Bing,Diverse,101673.36,125.66,3.05,4.12,100233,809134,18522,75.05
2023-06-01,Organic,Bing,Optional,16746.22,44.06,1.27,3.47,278993,380049,4319,89.49
2023-11-20,Paid Search,Amazon Ad,Optional,36850.88,135.28,4.45,3.04,119152,272407,10166,83.86
2024-05-17,Paid Social,Stack,Fundamental,13847.76,18.39,2.27,0.81,463450,753128,7424,43.43
2024-06-16,Paid Search,Bing,Mandatory,5467.28,14.38,0.79,1.82,238187,380257,954,31.76
2024-01-10,Programmatic,Google,Diverse,13991.9,18.33,3.9,0.47,682540,763339,25511,85.69
2024-07-28,Paid Search,Amazon Ad,Seamless,22008.8,35.99,1.18,3.05,565058,611538,6402,88.72
2024-12-19,Paid Social,Amazon Ad,Optional,32640.39,86.02,4.28,2.01,13096,379436,1008,6.21
2024-12-10,Organic,Facebook,Diverse,8910.02,39.06,1.8,2.17,120698,228127,155,3.77
2023-03-12,Paid Search,Stack,Mandatory,5043.9,26.65,1.24,2.15,188389,189234,2109,89.9
2023-02-04,Paid Social,Facebook,Entreprise,165473.66,201.47,4.82,4.18,443861,821316,20508,51.8
2024-10-16,Paid Social,Stack,Entreprise,5611.32,7.42,2.06,0.36,26395,756686,8500,54.53
2024-12-09,Paid Search,Amazon Ad,Diverse,42149.7,91.56,3.93,2.33,211174,460329,9953,55.02
2023-07-12,Paid Search,Amazon Ad,Optional,20009.08,42.04,4.62,0.91,46130,475940,20582,93.61
2024-01-20,Paid Search,Stack,Mandatory,7603.47,11.77,0.79,1.49,611924,645972,4914,96.3
2023-01-07,Paid Search,Google Search Ads,Fundamental,17106.25,85.4,4.88,1.75,170704,200312,8777,89.79
2024-06-27,Paid Search,Google Search Ads,Mandatory,1716.0,7.17,3.26,0.22,65072,239273,4669,59.86
2024-08-07,Paid Social,Google,Mandatory,13347.18,24.25,3.85,0.63,333960,550304,3053,14.41
2023-03-14,Paid Social,LinkedIn,Fundamental,45620.4,49.56,4.72,1.05,529139,920521,6973,16.05
2023-11-03,Programmatic,Google,Seamless,54122.61,104.09,2.21,4.71,236223,519978,782,6.81
2024-09-23,Programmatic,Bing,Fundamental,46785.6,108.07,2.37,4.56,352543,432924,8041,78.37
2024-01-10,Organic,LinkedIn,Entreprise,19845.5,24.7,4.94,0.5,375357,803468,22403,56.44
2023-09-18,Paid Search,LinkedIn,Diverse,97106.82,139.5,3.74,3.73,3640,696108,6953,26.71
2024-10-25,Paid Search,LinkedIn,Entreprise,117644.25,173.82,4.09,4.25,548648,676815,26979,97.46
2023-10-22,Organic,Google Search Ads,Seamless,3782.42,128.73,2.58,4.99,12507,29383,442,58.31
2024-11-18,Paid Social,Google Search Ads,Entreprise,41758.84,46.75,4.03,1.16,704630,893295,21734,60.37
2023-05-07,Paid Search,Stack,Entreprise,44639.19,49.63,3.52,1.41,443630,899411,17557,55.46
2024-07-07,Paid Search,Stack,Diverse,3605.25,102.69,4.06,2.53,22668,35109,749,52.56
2023-06-18,Organic,Facebook,Entreprise,72086.0,97.37,2.05,4.75,262055,740330,10650,70.18
2024-07-31,Paid Search,Amazon Ad,Mandatory,6210.12,12.71,4.54,0.28,332753,488537,21290,95.99
2024-08-27,Programmatic,Stack,Diverse,29410.0,31.0,3.1,1.0,675601,948725,6707,22.81
2024-02-11,Organic,Facebook,Optional,12947.55,75.81,2.57,2.95,32153,170797,2296,52.31
2023-10-05,Paid Search,Google Search Ads,Optional,51053.04,92.73,4.78,1.94,458816,550563,12540,47.65
2023-09-04,Paid Search,LinkedIn,Diverse,23858.1,28.22,0.96,2.94,805727,845314,1716,21.15
2023-11-08,Paid Search,Facebook,Optional,12127.8,103.82,3.58,2.9,61351,116819,920,22.0
2024-07-19,Paid Search,Amazon Ad,Entreprise,38456.0,89.0,4.45,2.0,176721,432098,1105,5.75
2024-11-27,Organic,Facebook,Diverse,2678.43,12.17,3.29,0.37,178279,220060,6534,90.26
2023-06-29,Paid Search,Google Search Ads,Seamless,7200.24,30.55,0.67,4.56,160317,235723,543,34.39
